"Time (UTCG)","x (m)","y (m)","z (m)","vx (m/sec)","vy (m/sec)","vz (m/sec)"
23 May 2018 04:55:43.000,1228910.003,-4447694.171,5096751.825,-1634.480437,5400.401562,5105.472831
23 May 2018 04:55:45.000,1225639.627,-4436882.064,5106950.256,-1635.893446,5411.701461,5092.953835
23 May 2018 04:55:47.000,1222366.437,-4426047.383,5117123.624,-1637.295146,5422.975243,5080.410029
23 May 2018 04:55:49.000,1219090.454,-4415190.180,5127271.879,-1638.685538,5434.222850,5067.841474
23 May 2018 04:55:51.000,1215811.702,-4404310.509,5137394.973,-1640.064623,5445.444225,5055.248233
23 May 2018 04:55:53.000,1212530.203,-4393408.421,5147492.856,-1641.432402,5456.639312,5042.630368
23 May 2018 04:55:55.000,1209245.980,-4382483.969,5157565.478,-1642.788877,5467.808052,5029.987943
23 May 2018 04:55:57.000,1205959.055,-4371537.206,5167612.791,-1644.134049,5478.950389,5017.321018
23 May 2018 04:55:59.000,1202669.451,-4360568.185,5177634.746,-1645.467919,5490.066267,5004.629659
23 May 2018 04:56:01.000,1199377.191,-4349576.959,5187631.294,-1646.790489,5501.155630,4991.913926
23 May 2018 04:56:03.000,1196082.297,-4338563.580,5197602.385,-1648.101760,5512.218420,4979.173884
23 May 2018 04:56:05.000,1192784.792,-4327528.103,5207547.973,-1649.401734,5523.254581,4966.409595
23 May 2018 04:56:07.000,1189484.697,-4316470.580,5217468.008,-1650.690413,5534.264058,4953.621123
23 May 2018 04:56:09.000,1186182.037,-4305391.064,5227362.441,-1651.967798,5545.246795,4940.808532
23 May 2018 04:56:11.000,1182876.834,-4294289.610,5237231.226,-1653.233892,5556.202734,4927.971883
23 May 2018 04:56:13.000,1179569.109,-4283166.271,5247074.313,-1654.488696,5567.131821,4915.111242
23 May 2018 04:56:15.000,1176258.887,-4272021.101,5256891.655,-1655.732212,5578.034001,4902.226672
23 May 2018 04:56:17.000,1172946.188,-4260854.154,5266683.204,-1656.964443,5588.909217,4889.318236
23 May 2018 04:56:19.000,1169631.036,-4249665.482,5276448.912,-1658.185390,5599.757414,4876.385999
23 May 2018 04:56:21.000,1166313.454,-4238455.142,5286188.732,-1659.395056,5610.578538,4863.430025
23 May 2018 04:56:23.000,1162993.464,-4227223.186,5295902.616,-1660.593444,5621.372533,4850.450377
23 May 2018 04:56:25.000,1159671.088,-4215969.670,5305590.518,-1661.780554,5632.139344,4837.447120
23 May 2018 04:56:27.000,1156346.349,-4204694.647,5315252.389,-1662.956390,5642.878916,4824.420319
23 May 2018 04:56:29.000,1153019.270,-4193398.173,5324888.183,-1664.120955,5653.591196,4811.370037
23 May 2018 04:56:31.000,1149689.872,-4182080.301,5334497.853,-1665.274251,5664.276127,4798.296339
23 May 2018 04:56:33.000,1146358.180,-4170741.087,5344081.353,-1666.416280,5674.933657,4785.199290
23 May 2018 04:56:35.000,1143024.215,-4159380.585,5353638.635,-1667.547046,5685.563731,4772.078955
23 May 2018 04:56:37.000,1139687.999,-4147998.850,5363169.653,-1668.666550,5696.166294,4758.935399
23 May 2018 04:56:39.000,1136349.556,-4136595.938,5372674.361,-1669.774797,5706.741294,4745.768686
23 May 2018 04:56:41.000,1133008.908,-4125171.903,5382152.713,-1670.871789,5717.288675,4732.578882
23 May 2018 04:56:43.000,1129666.076,-4113726.802,5391604.661,-1671.957528,5727.808385,4719.366051
23 May 2018 04:56:45.000,1126321.085,-4102260.688,5401030.162,-1673.032019,5738.300370,4706.130260
23 May 2018 04:56:47.000,1122973.956,-4090773.619,5410429.167,-1674.095264,5748.764576,4692.871573
23 May 2018 04:56:49.000,1119624.711,-4079265.649,5419801.633,-1675.147266,5759.200951,4679.590056
23 May 2018 04:56:51.000,1116273.374,-4067736.834,5429147.512,-1676.188029,5769.609441,4666.285775
23 May 2018 04:56:53.000,1112919.967,-4056187.230,5438466.761,-1677.217556,5779.989993,4652.958795
23 May 2018 04:56:55.000,1109564.512,-4044616.893,5447759.332,-1678.235850,5790.342555,4639.609182
23 May 2018 04:56:57.000,1106207.031,-4033025.878,5457025.182,-1679.242915,5800.667074,4626.237002
23 May 2018 04:56:59.000,1102847.547,-4021414.243,5466264.265,-1680.238755,5810.963496,4612.842321
23 May 2018 04:57:01.000,1099486.083,-4009782.043,5475476.536,-1681.223373,5821.231771,4599.425205
23 May 2018 04:57:03.000,1096122.661,-3998129.335,5484661.951,-1682.196773,5831.471845,4585.985721
23 May 2018 04:57:05.000,1092757.304,-3986456.175,5493820.464,-1683.158958,5841.683666,4572.523934
23 May 2018 04:57:07.000,1089390.033,-3974762.619,5502952.032,-1684.109933,5851.867183,4559.039912
23 May 2018 04:57:09.000,1086020.872,-3963048.725,5512056.609,-1685.049701,5862.022344,4545.533720
23 May 2018 04:57:11.000,1082649.842,-3951314.549,5521134.152,-1685.978267,5872.149097,4532.005425
23 May 2018 04:57:13.000,1079276.966,-3939560.148,5530184.616,-1686.895635,5882.247390,4518.455094
23 May 2018 04:57:15.000,1075902.267,-3927785.578,5539207.958,-1687.801808,5892.317173,4504.882793
23 May 2018 04:57:17.000,1072525.766,-3915990.898,5548204.133,-1688.696792,5902.358393,4491.288590
23 May 2018 04:57:19.000,1069147.487,-3904176.164,5557173.097,-1689.580590,5912.371001,4477.672552
23 May 2018 04:57:21.000,1065767.451,-3892341.433,5566114.808,-1690.453206,5922.354944,4464.034745
23 May 2018 04:57:23.000,1062385.682,-3880486.763,5575029.222,-1691.314645,5932.310173,4450.375237
23 May 2018 04:57:25.000,1059002.200,-3868612.212,5583916.295,-1692.164912,5942.236636,4436.694095
23 May 2018 04:57:27.000,1055617.029,-3856717.836,5592775.984,-1693.004011,5952.134283,4422.991387
23 May 2018 04:57:29.000,1052230.192,-3844803.694,5601608.246,-1693.831947,5962.003063,4409.267180
23 May 2018 04:57:31.000,1048841.709,-3832869.843,5610413.038,-1694.648724,5971.842926,4395.521541
23 May 2018 04:57:33.000,1045451.604,-3820916.341,5619190.318,-1695.454348,5981.653823,4381.754539
23 May 2018 04:57:35.000,1042059.899,-3808943.247,5627940.042,-1696.248823,5991.435703,4367.966240
23 May 2018 04:57:37.000,1038666.616,-3796950.618,5636662.168,-1697.032153,6001.188516,4354.156714
23 May 2018 04:57:39.000,1035271.778,-3784938.512,5645356.655,-1697.804345,6010.912213,4340.326028
23 May 2018 04:57:41.000,1031875.406,-3772906.989,5654023.458,-1698.565402,6020.606744,4326.474249
23 May 2018 04:57:43.000,1028477.524,-3760856.105,5662662.538,-1699.315331,6030.272060,4312.601447
23 May 2018 04:57:45.000,1025078.152,-3748785.920,5671273.850,-1700.054136,6039.908111,4298.707689
23 May 2018 04:57:47.000,1021677.315,-3736696.492,5679857.354,-1700.781822,6049.514849,4284.793044
23 May 2018 04:57:49.000,1018275.032,-3724587.880,5688413.008,-1701.498396,6059.092224,4270.857580
23 May 2018 04:57:51.000,1014871.328,-3712460.143,5696940.771,-1702.203862,6068.640188,4256.901365
23 May 2018 04:57:53.000,1011466.224,-3700313.339,5705440.600,-1702.898225,6078.158692,4242.924469
23 May 2018 04:57:55.000,1008059.743,-3688147.527,5713912.455,-1703.581492,6087.647687,4228.926960
23 May 2018 04:57:57.000,1004651.906,-3675962.768,5722356.294,-1704.253667,6097.107126,4214.908907
23 May 2018 04:57:59.000,1001242.735,-3663759.119,5730772.077,-1704.914757,6106.536959,4200.870379
23 May 2018 04:58:01.000,997832.254,-3651536.640,5739159.762,-1705.564768,6115.937141,4186.811444
23 May 2018 04:58:03.000,994420.484,-3639295.390,5747519.309,-1706.203705,6125.307621,4172.732173
23 May 2018 04:58:05.000,991007.447,-3627035.429,5755850.677,-1706.831574,6134.648353,4158.632634
23 May 2018 04:58:07.000,987593.165,-3614756.816,5764153.826,-1707.448381,6143.959289,4144.512896
23 May 2018 04:58:09.000,984177.660,-3602459.612,5772428.716,-1708.054131,6153.240380,4130.373029
23 May 2018 04:58:11.000,980760.956,-3590143.875,5780675.305,-1708.648831,6162.491580,4116.213102
23 May 2018 04:58:13.000,977343.072,-3577809.665,5788893.555,-1709.232488,6171.712841,4102.033185
23 May 2018 04:58:15.000,973924.033,-3565457.043,5797083.425,-1709.805106,6180.904116,4087.833347
23 May 2018 04:58:17.000,970503.859,-3553086.069,5805244.875,-1710.366693,6190.065359,4073.613658
23 May 2018 04:58:19.000,967082.574,-3540696.802,5813377.866,-1710.917254,6199.196522,4059.374188
23 May 2018 04:58:21.000,963660.198,-3528289.303,5821482.359,-1711.456797,6208.297559,4045.115006
23 May 2018 04:58:23.000,960236.754,-3515863.632,5829558.313,-1711.985327,6217.368423,4030.836183
23 May 2018 04:58:25.000,956812.264,-3503419.850,5837605.690,-1712.502851,6226.409069,4016.537789
23 May 2018 04:58:27.000,953386.750,-3490958.016,5845624.451,-1713.009375,6235.419449,4002.219894
23 May 2018 04:58:29.000,949960.234,-3478478.192,5853614.557,-1713.504907,6244.399518,3987.882568
23 May 2018 04:58:31.000,946532.737,-3465980.438,5861575.969,-1713.989453,6253.349230,3973.525881
23 May 2018 04:58:33.000,943104.283,-3453464.816,5869508.648,-1714.463020,6262.268540,3959.149905
23 May 2018 04:58:35.000,939674.893,-3440931.385,5877412.556,-1714.925614,6271.157401,3944.754709
23 May 2018 04:58:37.000,936244.588,-3428380.206,5885287.654,-1715.377243,6280.015768,3930.340364
23 May 2018 04:58:39.000,932813.391,-3415811.342,5893133.904,-1715.817914,6288.843596,3915.906941
23 May 2018 04:58:41.000,929381.324,-3403224.853,5900951.269,-1716.247633,6297.640840,3901.454510
23 May 2018 04:58:43.000,925948.408,-3390620.799,5908739.710,-1716.666408,6306.407454,3886.983143
23 May 2018 04:58:45.000,922514.665,-3377999.243,5916499.189,-1717.074246,6315.143395,3872.492910
23 May 2018 04:58:47.000,919080.118,-3365360.246,5924229.669,-1717.471154,6323.848617,3857.983882
23 May 2018 04:58:49.000,915644.788,-3352703.870,5931931.112,-1717.857139,6332.523075,3843.456131
23 May 2018 04:58:51.000,912208.697,-3340030.175,5939603.481,-1718.232209,6341.166726,3828.909728
23 May 2018 04:58:53.000,908771.866,-3327339.223,5947246.738,-1718.596372,6349.779526,3814.344744
23 May 2018 04:58:55.000,905334.319,-3314631.077,5954860.847,-1718.949634,6358.361429,3799.761250
23 May 2018 04:58:57.000,901896.075,-3301905.798,5962445.771,-1719.292004,6366.912392,3785.159318
23 May 2018 04:58:59.000,898457.158,-3289163.449,5970001.472,-1719.623489,6375.432372,3770.539020
23 May 2018 04:59:00.000,896737.453,-3282785.891,5973768.353,-1719.785152,6379.680729,3763.222005


